order_id,sku,due_start,due_end,qty_min,qty_max,capable_lines,ub_naive_noCIP,ub_withCIP,feasible_naive,feasible_withCIP,blocking_reason
280256-W0,280256,0,167,141390,172810,1,268800,259200,True,True,
280256-W1,280256,168,335,0,146400,1,268800,259200,True,True,
280351-W0,280351,0,167,180000,220001,1,268800,259200,True,True,
280351-W1,280351,168,335,0,354150,1,268800,259200,True,True,
120431-W0,120431,0,167,16200,19800,2,268800,259200,True,True,
120451-W1,120451,168,335,0,13500,2,268800,259200,True,True,
120531-W1,120531,168,335,0,24000,2,268800,259200,True,True,
120534-W0,120534,0,167,7740,9460,2,268800,259200,True,True,
280090-W0,280090,0,167,11250,13751,2,268800,259200,True,True,
280478-W0,280478,0,167,22500,27501,2,268800,259200,True,True,
280571-W1,280571,168,335,0,139050,2,268800,259200,True,True,
280573-W0,280573,0,167,16200,19800,2,268800,259200,True,True,
280581-W0,280581,0,167,55710,68090,2,268800,259200,True,True,
280583-W0,280583,0,167,50760,62041,2,403200,388800,True,True,
280584-W1,280584,168,335,0,78000,2,403200,388800,True,True,
280586-W0,280586,0,167,36000,44000,2,403200,388800,True,True,
280611-W1,280611,168,335,0,45000,2,268800,259200,True,True,
280612-W1,280612,168,335,0,52350,2,268800,259200,True,True,
280613-W1,280613,168,335,0,36000,2,268800,259200,True,True,
280614-W1,280614,168,335,0,22500,2,268800,259200,True,True,
120433-W0,120433,0,167,19620,23981,3,403200,388800,True,True,
280450-W0,280450,0,167,16200,19800,3,403200,388800,True,True,
120430-W0,120430,0,167,16200,19800,4,537600,518400,True,True,
120430-W1,120430,168,335,0,46950,4,537600,518400,True,True,
280541-W1,280541,168,335,0,45000,4,537600,518400,True,True,
280647-W0,280647,0,167,40950,50051,4,1075200,1036800,True,True,
280647-W1,280647,168,335,0,600000,4,1075200,1036800,True,True,
280104-W0,280104,0,167,34650,42350,5,1075200,1036800,True,True,
280105-W1,280105,168,335,0,54000,5,1075200,1036800,True,True,
280344-W1,280344,168,335,0,89550,5,1075200,1036800,True,True,
280425-W1,280425,168,335,0,37500,5,672000,648000,True,True,
280592-W0,280592,0,167,18720,22881,5,1075200,1036800,True,True,
241287-W1,241287,168,335,0,90000,6,940800,907200,True,True,
280264-W0,280264,0,167,76680,93721,6,940800,907200,True,True,
280421-W0,280421,0,167,29700,36300,6,1344000,1296000,True,True,
280421-W1,280421,168,335,0,45000,6,1344000,1296000,True,True,
280454-W1,280454,168,335,0,27000,6,1344000,1296000,True,True,
570261-W0,570261,0,167,80550,98451,6,1478400,1425600,True,True,
570261-W1,570261,168,335,0,109200,6,1478400,1425600,True,True,
280166-W0,280166,0,167,45900,56101,7,1478400,1425600,True,True,
280166-W1,280166,168,335,0,59400,7,1478400,1425600,True,True,
280451-W0,280451,0,167,50400,61601,7,1612800,1555200,True,True,
280590-W0,280590,0,167,58500,71500,7,1612800,1555200,True,True,
280590-W1,280590,168,335,0,85500,7,1612800,1555200,True,True,
120464-W0,120464,0,167,60300,73700,8,1478400,1425600,True,True,
280169-W0,280169,0,167,49500,60501,8,1478400,1425600,True,True,
280212-W0,280212,0,167,48600,59401,8,1612800,1555200,True,True,
280490-W0,280490,0,167,105930,129471,8,1612800,1555200,True,True,
280591-W0,280591,0,167,27000,33000,8,1747200,1684800,True,True,
280323-W0,280323,0,167,55530,67870,9,1881600,1814400,True,True,
280323-W1,280323,168,335,0,106800,9,1881600,1814400,True,True,
280324-W0,280324,0,167,137520,168080,9,2016000,1944000,True,True,
120436-W0,120436,0,167,71550,87450,10,1747200,1684800,True,True,
120448-W0,120448,0,167,33390,40810,10,1747200,1684800,True,True,
120448-W1,120448,168,335,0,45000,10,1747200,1684800,True,True,
280480-W0,280480,0,167,72000,88000,10,2150400,2073600,True,True,
280480-W1,280480,168,335,0,270000,10,2150400,2073600,True,True,
